"","baseMean","log2FoldChange","pvalue","padj"
PAPSS2,2702.09904104863,-1.8521323400928,2.99354568294338e-82,4.12211240541304e-78
KRT4,4137.33144901689,1.61991252289023,2.96958497544823e-72,2.0445592555961e-68
IL33,721.734616017342,-2.15317632563669,5.5799901433007e-53,2.56121547577502e-49
PTGS2,1906.23546627223,-1.85680161297014,2.95494466123714e-51,1.01723969963088e-47
CCNL2,3121.54231531761,-1.41577153559337,1.51560526812594e-45,4.17397690841884e-42
CDC20B,2742.21133859412,-1.39793351713222,1.60956928761549e-42,3.69396151507755e-39
CCL20,1322.17903057666,-1.60683877078396,1.05123421490662e-35,2.06792787703775e-32
MIR205HG,1027.33388562466,-1.73704858859664,7.20466409833369e-35,1.24010280792569e-31
CCDC14,1008.36982472823,-1.43347797236306,6.39505056144589e-34,9.78442735901221e-31
SLC25A29,1826.92758451217,-1.19845577694969,4.89616423977035e-30,6.74201815816378e-27
CXCL6,3258.72378639592,-1.37608450827028,1.42803487703863e-29,1.78764002334744e-26
CFAP70,801.224703637942,-1.48270133240569,2.94781296678528e-29,3.38261537938611e-26
CLK4,704.727132708064,-1.4270311495032,4.99237374013168e-27,5.28807587704717e-24
SLITRK6,1629.05758471306,-1.28942364682225,8.74971855473057e-27,8.60597317847428e-24
CXCL1,11357.3305128344,-0.909347556271467,1.52576133167938e-26,1.40064890248167e-23
SCGB1A1,10938.4010272855,1.20416373330268,2.89611479132295e-26,2.49246879228231e-23
SRSF5,4478.42466062917,-0.93861750109405,3.77914033312273e-26,3.06110366982941e-23
DNAH12,1176.76557354345,-1.29384015691387,1.9511419899498e-25,1.4926236223116e-22
SLFN11,2142.5563820874,-1.00705944487874,2.10547765219425e-24,1.52591722477447e-21
IGFBP5,14341.1038622564,-1.03292043559227,3.75063611249283e-24,2.58231296345131e-21
CLK1,4144.77644151192,-0.978861248215754,4.60712822328897e-24,3.02095979212805e-21
ARGLU1,2455.31412588269,-0.971832074681362,2.97232880779527e-23,1.86040762197004e-20
NRBP2,285.938060084585,-1.90358720363124,5.47480228831437e-23,3.2777403265256e-20
CDKN1A,6267.76790263923,0.848414119372635,6.79078580790266e-23,3.89621335728415e-20
CFAP43,1891.47228435687,-1.00094754311258,7.85973648816633e-23,4.32914285768202e-20
KRT13,1340.0675252454,1.16604010019222,2.28887796020941e-22,1.21222498123398e-19
RARRES1,6787.29547732598,-1.03923783594714,2.67331794326968e-22,1.36339215106754e-19
AHSA2,920.417204896536,-1.26121311479668,9.01017877530745e-22,4.43107720485656e-19
SCGB3A1,73660.3222712655,0.987135904401227,1.03913476359538e-21,4.93409851541668e-19
TNFAIP2,16245.6434132465,-0.79470147392025,1.17771491624263e-21,5.40571146555368e-19
ALDH3A1,7680.02158505028,0.892772829846983,9.87749828806487e-21,4.38752101376301e-18
KDELC2,1013.84407553593,-1.10917241366533,1.22309586794488e-20,5.12669448997649e-18
DNAH6,927.777300090038,-1.13124798019985,1.22861959454774e-20,5.12669448997649e-18
