"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IRF1",333.875683909839,3.01485700398098,0.162651460672929,18.5356896981298,1.06416628004255e-76,1.24188204880965e-72
"GBP1",161.774837346111,2.97432483894586,0.215553165547671,13.7985671951919,2.5996835231376e-43,1.51691533575079e-39
"TAP1",171.904590684234,3.19835006256544,0.246749662010245,12.9619227702636,2.01141666468571e-38,7.82441082562741e-35
"IFIT3",132.532170742558,3.02385914343453,0.238491374354341,12.6791132451683,7.72002936997486e-37,2.25231856869017e-33
"SP110",210.398300236842,2.2078880651233,0.176462343454854,12.511950265968,6.42276821124262e-36,1.49907410050403e-32
"SOCS3",219.553120118996,2.2021299096623,0.180257058688261,12.2166084684134,2.53438885340101e-34,4.92938631986496e-31
"MSX1",130.940110795025,-2.32088311347303,0.196130790376562,-11.8333440099692,2.62472697249653e-32,4.37579482414778e-29
"PARP14",173.044455087046,3.2720162731972,0.278347520165563,11.7551479217454,6.64442895143659e-32,9.69256073290813e-29
"APOL6",102.653875644247,3.66852633665871,0.317204378946661,11.5651818831782,6.18600767715102e-31,7.21907095923524e-28
"IFI16",384.523676509729,1.58318920224917,0.136802072861439,11.5728451267892,5.65749321973443e-31,7.21907095923524e-28
"SLC2A3",134.096961143675,2.21226733418522,0.207975310014881,10.6371632960996,2.00129625955052e-26,2.1231933953595e-23
"HLA-E",127.695414124124,2.16120317895207,0.21264832492458,10.1632739393484,2.89198821118376e-24,2.81245853537621e-21
"APOL1",70.5048704524166,3.32578567003163,0.327877109927198,10.143390829479,3.54573710239575e-24,3.18298092191988e-21
"PML",141.868207189019,1.81110176617688,0.181098804048914,10.0006279759181,1.51433684071056e-23,1.26230792364945e-20
"IER5",370.707535191655,1.26850875934371,0.129697217007706,9.78053954132525,1.36481031632599e-22,1.06182242610162e-19
"SPOCD1",135.742297305103,1.85990293626772,0.194550210715054,9.56001501839449,1.17739617579806e-21,8.58763335722712e-19
"DTX3L",256.594271798563,2.30828739643181,0.243180065314549,9.49209135808923,2.26444788794683e-21,1.55447687366703e-18
"FRMD4B",63.1934046838911,3.90533147313555,0.423826487517972,9.21445824683136,3.12854108869088e-20,2.02833747250126e-17
"PSMB9",103.265823741416,2.3224992738536,0.25904788165156,8.96552119649271,3.0881687548013e-19,1.89678575623848e-16
"CD274",80.0977962684266,2.34092564478552,0.267434912882861,8.75325371527266,2.07287958530087e-18,1.20952523802306e-15
"NNMT",176.306532244222,1.65029732704528,0.189056108020125,8.72914048812221,2.56615302824198e-18,1.42604789712304e-15
"APOL2",65.230434805203,2.60864879592717,0.300012221224007,8.69514176883949,3.46397008645468e-18,1.83747867767846e-15
"TRIM25",226.940368108521,1.21694993163685,0.1407189988834,8.64808548449965,5.23705954983288e-18,2.65723847593694e-15
"PCED1A",141.525762583647,1.54870480520617,0.180440874084186,8.58289349941639,9.25160035002978e-18,4.49859067020198e-15
"SAT1",141.419387923965,1.75101725914542,0.204633093898555,8.5568625572043,1.15980670716801e-17,5.41397770906028e-15
"PMAIP1",180.061190018711,1.47017741540349,0.172781028097757,8.50890535604221,1.75583082525854e-17,7.88097912721816e-15
"PLEKHF1",62.79597733102,2.43186186761783,0.293091581865044,8.29727640808732,1.06525333197982e-16,4.60426162377946e-14
"GBP3",66.272862631079,2.23032686203251,0.27721636071219,8.04543734829587,8.59379590608446e-16,3.57530180826736e-13
"WARS",192.048829375671,1.32534926074875,0.164816544362028,8.04136056776892,8.88464031188975e-16,3.57530180826736e-13
"DDX58",97.3283738024171,1.83826373376452,0.229052517555827,8.02551202396835,1.01103352387947e-15,3.93292040789112e-13
"TMEM173",57.7652973901866,2.46105356436753,0.315495050421868,7.80060910964117,6.16090726092931e-15,2.31928347532403e-12
"GBP2",40.6397205998454,3.65947105649299,0.480045809384776,7.62317050779579,2.47519578888291e-14,9.02672964258237e-12
"PTX3",132.913829775135,-1.20838598328382,0.159373088498373,-7.58212063698669,3.39951949377075e-14,1.20219371188802e-11
"TSC22D1",241.460982983862,1.2139515319475,0.161411134689757,7.52086610555588,5.44145543192476e-14,1.86769955560476e-11
"CASP4",124.79174056825,1.42366099896984,0.191554968120467,7.43212777480412,1.06864493065614e-13,3.56316752593062e-11
"SAMD9L",54.5152663492655,2.60599281589208,0.355417735698887,7.33219688873348,2.26410132783134e-13,7.33946180438658e-11
"CD47",188.215745184943,1.18483740760877,0.164194952519873,7.21604038020208,5.35231698743412e-13,1.6881497092799e-10
"PSMB8",99.5998478514442,2.00944520607073,0.282571268106373,7.11128636515969,1.14966314316638e-12,3.53067602125043e-10
"HMGA2",230.547720779337,-1.02360985418571,0.144677819248232,-7.07509872283498,1.49342404020873e-12,4.46878424339381e-10
"AMIGO2",201.777171262363,-0.987585203586525,0.140092726488509,-7.04951090853052,1.79547758970594e-12,5.23830586796709e-10
"CEBPD",77.7766735723369,1.59301554201969,0.226133130142967,7.04459156874777,1.8600629380978e-12,5.29437426526861e-10
"TRIM38",71.1961696854076,1.91175705979993,0.273422773491001,6.99194524066536,2.71100702843589e-12,7.5327266718683e-10
"MT-RNR1",6821.01047084674,1.51329078013246,0.21680460924437,6.97997512786623,2.95232325933553e-12,8.01246800847573e-10
"MT-ND1",3305.64326497147,1.04645321643774,0.155058160237639,6.74877874749686,1.49094739766468e-11,3.95439912062428e-09
"HBEGF",209.319906424012,-0.914741328029739,0.137126544310076,-6.67078232469191,2.54443382090797e-11,6.59856504222133e-09
"PLK2",30.9300194393531,-2.18821507421099,0.328305782410764,-6.66517372354162,2.64352471077845e-11,6.70650725538793e-09
