"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0003360",2543.495404154,-2.9754061385946,0.117090313499418,-25.4112065265706,1.89619703537315e-142,1.53591959865225e-138
"FBgn0026562",36437.214372953,-2.46052610234767,0.106043529865475,-23.2029818836571,4.24830841822279e-119,1.72056490938023e-115
"FBgn0025111",1339.24673068177,2.92890614202789,0.127069104088772,23.0497111239703,1.48074657505696e-117,3.99801575265378e-114
"FBgn0039155",463.322104953081,-4.39661753008648,0.208860310966203,-21.0505170166002,2.26199053980577e-98,4.58053084310669e-95
"FBgn0029167",2550.66150931498,-2.24097962118664,0.118513204581637,-18.9091133692444,9.59565508929252e-80,1.55449612446539e-76
"FBgn0261552",3311.74207032996,-2.06541626883549,0.129066367337562,-16.0027458077716,1.22261796189409e-57,1.65053424855703e-54
"FBgn0035085",447.117995970767,-2.51440036342317,0.16347617010278,-15.3808372305415,2.20083296909034e-53,2.54667814994739e-50
"FBgn0039827",188.556977679193,-4.15593681754937,0.292799230767181,-14.1938105734095,1.00069926321086e-45,1.01320800400099e-42
"FBgn0034897",655.500301080172,-2.07680444733888,0.146537461663763,-14.1725155039481,1.3555636214463e-45,1.22000725930167e-42
"FBgn0029896",337.654954561838,-2.5639070763328,0.185724790601215,-13.8048726184216,2.38193182142996e-43,1.92936477535827e-40
"FBgn0023479",2211.60639913282,-1.59991550087281,0.118242092600597,-13.5308456209167,1.02833869191413e-41,7.57231218591316e-39
"FBgn0040099",576.064524242462,-1.98747369419258,0.147738663521092,-13.4526307929464,2.97110459760593e-41,2.00549560338401e-38
"FBgn0000071",302.151860449063,2.5533520568365,0.19260329682065,13.2570527035897,4.10722788106858e-40,2.55911891051196e-37
"FBgn0259715",674.761858030829,-1.94450381405293,0.146816676780118,-13.2444341930253,4.85930149386872e-40,2.8114530071669e-37
"FBgn0033367",13567.3321443257,1.44469391916105,0.114925447472424,12.5707051913606,3.0598236547155e-36,1.65230477354637e-33
"FBgn0034736",162.014979118878,-3.5058619398004,0.279744262020254,-12.5323819494342,4.96487842866008e-36,2.51346970450917e-33
"FBgn0261362",4833.44802493832,1.39166905892152,0.118715830452194,11.7226915199143,9.75234684614268e-32,4.64670643845622e-29
"FBgn0035189",197.324386800398,2.95891485002725,0.257721566583093,11.4810525531757,1.64268460534256e-30,7.39208072404152e-28
"FBgn0036821",324.651670589631,-2.0932402434851,0.185974736814382,-11.2555085671358,2.17567432768942e-29,9.27524318646544e-27
"FBgn0001226",1156.49072533075,1.57529804351187,0.141037077446417,11.1693894402368,5.75752722530743e-29,2.33179852624951e-26
"FBgn0036985",1310.50643362576,-1.29944829148396,0.119156512644953,-10.9053904200427,1.08625956506422e-27,4.18985832239057e-25
"FBgn0027279",2050.72324013855,-1.2130143062186,0.111913407297446,-10.8388649359467,2.25248324688438e-27,8.29323377261977e-25
"FBgn0040091",768.578544520213,-1.5734359713174,0.146106312970388,-10.7691169486722,4.81597984885776e-27,1.69606246851077e-24
"FBgn0035147",15117.0444177608,-1.09908252490399,0.103569630112378,-10.6120155465596,2.6203459791734e-26,8.84366767971023e-24
"FBgn0038832",179.587812788431,-2.40743692816556,0.228825105992908,-10.5208601028253,6.92386116968469e-26,2.24333101897784e-23
"FBgn0053307",630.413225893481,-1.55012505689539,0.152972798775636,-10.1333378829588,3.93000091214122e-24,1.22434643801323e-21
"FBgn0003501",232.225315524663,2.09627361348034,0.210962223621075,9.93672505673631,2.88144691842065e-23,8.64434075526194e-21
"FBgn0029002",1282.26909577015,1.25635896806702,0.126486546430353,9.93274781803622,2.99875737824547e-23,8.67497670135297e-21
"FBgn0033913",3666.3830007178,-1.04925772773204,0.106108248444183,-9.88855949576806,4.66694808931543e-23,1.30352688011914e-20
"FBgn0034434",82.865418717376,-3.85334989978141,0.396402162919382,-9.72080947137789,2.45819445091635e-22,6.63712501747416e-20
"FBgn0000406",213.896802341419,-2.22700340894661,0.231194582755466,-9.6325933869398,5.82406900290545e-22,1.5217728685011e-19
"FBgn0034010",400.117776963626,-1.57247272710941,0.164169664449517,-9.57833916748331,9.86179527591935e-22,2.49626692921709e-19
"FBgn0039419",1121.678098582,-1.18481205307983,0.125678232623106,-9.42734496142177,4.20600399265403e-21,1.0323827981969e-18
"FBgn0043364",729.544255052511,-1.24174676659805,0.134423310637391,-9.23758506400485,2.5212310343393e-20,6.00646217004362e-18
"FBgn0000116",583.373949379546,1.43476838679033,0.156432841795416,9.17178496742218,4.65250345457087e-20,1.07672222805783e-17
"FBgn0031912",1015.26076375365,-1.11941223369129,0.123683396847112,-9.05062653700418,1.4215033857589e-19,3.19838261795753e-17
"FBgn0034751",12200.8268416427,-1.04547276360606,0.115581245361454,-9.04534953172188,1.49187107937308e-19,3.26598803862754e-17
"FBgn0041087",1006.8092742909,1.13555042579141,0.125872834220784,9.02140984447546,1.85684018068856e-19,3.95800143778352e-17
"FBgn0051092",128.7349339811,2.40212860690099,0.267642904025017,8.97512532847295,2.83029387306108e-19,5.87830265943456e-17
"FBgn0037754",149.318895025884,-2.18496217912126,0.243816902641505,-8.96148772070128,3.2032687866956e-19,6.48661929305858e-17
"FBgn0003748",832.253471578827,1.15011440150587,0.128893382649941,8.92299028748004,4.53864568037331e-19,8.96659268561557e-17
"FBgn0051363",5109.86858692927,0.946081047356803,0.106751200318412,8.86248627214386,7.82494500657902e-19,1.5090965369831e-16
"FBgn0036373",3149.02255377062,-1.02537000938513,0.116149628460042,-8.82800937876337,1.06555124261229e-18,2.00720117794408e-16
"FBgn0011260",143.648136206982,2.1361220131322,0.24912121058268,8.57462922621459,9.94065144798507e-18,1.82998356201543e-15
"FBgn0031805",2437.33361367769,-0.899453345291317,0.106030919249311,-8.48293452192403,2.1958424409086e-17,3.95251639363548e-15
"FBgn0039464",720.216431940604,1.13066030276773,0.134141324797903,8.42887383489896,3.49007617193003e-17,6.145568911442e-15
"FBgn0052407",116.754653325311,-2.28983253970873,0.272887940689032,-8.39110931002298,4.81576306122797e-17,8.29950655232905e-15
